actors,country,director,distributor,duration,exit_date,gender,language,media_type,original_title,presse_score,product_year,public,sessions,synopsis,title,viewer_score,visa
"Pierre Niney,Bastien Bouillon,Anaïs Demoustier,Anamaria Vartolomei", France,"Matthieu Delaporte,Alexandre De La Patellière", Pathé ,178,28 juin 2024,"Aventure,Historique",Français,Long métrage,,3.6,2024,Tout public,1190,"Victime d’un complot, le jeune Edmond Dantès est arrêté le jour de son mariage pour un crime qu’il n’a pas commis. Après quatorze ans de détention au château d’If, il parvient à s’évader. Devenu immensément riche, il revient sous l’identité du comte de Monte-Cristo pour se venger des trois hommes qui l’ont trahi.",Le Comte de Monte-Cristo,4.4,158738
"Diljit Dosanjh,Neeru Bajwa,Nasir Chinyoti,Jaswinder Bhalla", Inde,Jagdeep Sidhu, Friday Entertainment ,135,27 juin 2024,Comédie,Punjabi,Long métrage,,3.1,2024,Tout public,0,Deux policiers du Pendjab se rendent au Canada pour une mission qui s'avère plus compliquée que prévu.,Jatt & Juliet 3,0.0,0
"Biju Menon,Suraaj Venjarammoodu,Lijo Mol Jose,Johny Antony", Inde,Vishnu Narayan, Filmy Distributions ,150,28 juin 2024,Thriller,Malayalam,Long métrage,,0,2024,Tout public avec avertissement,0,Un groupe de familles et d'amis dans une copropriété voit sa vie bouleversée par l'arrivée d'un nouveau locataire atypique.,Nadanna Sambhavam,0.0,0
"Shakib Khan,Mimi Chakraborty,Masuma Rahman Nabila,Chanchal Chowdhury", Bengladesh,Raihan Rafi, Night ed films ,144,26 juin 2024,"Action,Thriller",Bengali,Long métrage,,0,2024,Tout public,1,L'ascension au pouvoir d'un tueur né qui devient le plus grand des gangsters.,Toofan,0.0,0
"Benjamin Esdraffo,Pierre Léon,Serge Bozon,Marc Barbé", France,Pascale Bodet, The Dark ,72,26 juin 2024,Drame,Français,Long métrage,,3.1,2024,,1,"Paris, premier tiers du XXIème siècle. Edouard est peintre, Charles poète. Ils sont amis mais le découragement guette : leurs œuvres sont décriées et les soutiens se font rares. Gulcan, un étranger, surgit de nulle part. Une idée lui vient.",Vas-tu renoncer ?,3.3,153504
"Joan Baez,Bill Clinton,Hillary Clinton,Bob Dylan", U.S.A.,, L'Atelier Distribution ,113,26 juin 2024,"Documentaire,Musical",Anglais,Long métrage,,2.8,2023,Tout public,20,"Joan Baez : I Am A Noise revient sur la carrière d’une artiste exceptionnelle et sur sa vie militante, tout en la suivant dans sa dernière tournée de New York à Paris. En ouvrant pour la première fois ses archives personnelles, Joan Baez se livre sans fard sur sa renommée aussi précoce que vertigineuse, sur ses traumas, son combat pour les droits civiques et sa romance déchirante avec Bob Dylan. I Am A Noise est une plongée fascinante et profondément personnelle d’une autrice- compositrice-interprète qui dévoile dans ce film toute la vérité sur sa vie.",Joan Baez I Am A Noise,3.2,0
"Prabhas Raju,Amitabh Bachchan,Deepika Padukone,Kamal Haasan", Inde,Nag Ashwin, Friday Entertainment ,170,27 juin 2024,"Action,Drame,Science Fiction",Télougou,Long métrage,,3.2,2023,Tout public,15,"En l'an 2898, le monde est au bord du gouffre, mais dans la ville de Kasi, un homme du nom de Bhairava est là pour lutter contre le chaos.",Kalki 2898 AD,0.0,0
"Carla Crespo,Susana Pampin,Antonella Saldicco,Lorenzo Crespo", Argentine,"Andi Nachón,Papu Curotto", Outplay Films ,80,26 juin 2024,Drame,Espagnol,Long métrage,,2.8,2023,Tout public,45,"Julia vient de perdre sa compagne, Barby. Déchirée entre son chagrin et sa vie qui bascule, elle s’efforce de maintenir le restaurant qu’elles avaient fondé ensemble et le lien qui l’unit au fils de sa partenaire, León. Mais cette relation privilégiée est désormais menacée par une grand-mère obstinée et le retour inattendu d’un père absent.",León,2.8,162078
"Eléonore Saintagnan,Anna Turluc'h,Jean-Benoît Ugeux,Rosemary Standley", France,Eléonore Saintagnan, Norte Distribution ,70,26 juin 2024,Comédie,Français,Long métrage,,3.4,2024,Tout public,35,"Éléonore roule vers l’Ouest. Elle tombe en panne au milieu de la Bretagne. Contrainte d’y passer un certain temps car le nouveau carburateur pour sa voiture semble ne jamais arriver, elle s’installe dans l’un des mobil-homes du Camping du Lac. Un lac donc, dans lequel vivrait un monstre. Elle se met à observer ses habitants, tous singuliers, et bientôt les touristes, qui arrivent en masse. Surtout, elle attend d’apercevoir la bête. À quoi peut-elle ressembler ? Et d’ailleurs, est-ce vraiment cela qu’Éléonore attend ?",Camping du Lac,2.5,157138
"Shin Seokho,Ha Seong Guk,Seung Yun Kim,Kim Minhee", Corée du Sud,Hong Sang-Soo, Arizona Distribution ,61,26 juin 2024,Drame,Coréen,Long métrage,mul-an-e-seo,3.7,2023,Tout public,42,"Sur l’île rocheuse de Jeju, un jeune acteur réalise un film. Alors que l’inspiration lui manque, il aperçoit une silhouette au pied d’une falaise. Grâce à cette rencontre et à une chanson d’amour écrite des années plus tôt, il a enfin une histoire à raconter.",In Water,2.9,161621
